CustomerID,Recency,Frequency,Monetary,Cluster_Name
1,103,19,19370,At Risk / Lost
2,349,26,14345,Champions
3,271,25,19137,Champions
4,107,10,15854,Recent Low-Value
5,72,15,9380,Recent Low-Value
6,189,22,12677,At Risk / Lost
7,21,21,2614,Loyal Customers
8,103,22,4069,Champions
9,122,36,19768,Recent Low-Value
10,215,34,4666,At Risk / Lost
11,331,30,2296,Recent Low-Value
12,88,25,17273,At Risk / Lost
13,100,28,19959,Recent Low-Value
14,360,1,11445,Loyal Customers
15,152,4,1409,Champions
16,131,7,964,Recent Low-Value
17,150,9,12155,Champions
18,309,36,5489,At Risk / Lost
19,258,19,19847,Loyal Customers
20,344,1,11816,Champions
21,294,10,12078,Recent Low-Value
22,192,36,3103,Champions
23,277,9,14274,Champions
24,161,32,13872,At Risk / Lost
25,314,32,17715,Loyal Customers
26,22,6,8059,Loyal Customers
27,253,38,12080,Champions
28,236,17,19195,Champions
29,345,10,6681,At Risk / Lost
30,49,27,16905,Champions
31,59,35,10065,At Risk / Lost
32,170,21,11860,Loyal Customers
33,188,25,15022,Loyal Customers
34,271,28,1046,At Risk / Lost
35,190,15,18318,Champions
36,175,4,1664,Loyal Customers
37,51,29,7432,Recent Low-Value
38,364,9,5044,At Risk / Lost
39,55,27,16157,Loyal Customers
40,244,26,13977,Loyal Customers
41,320,19,10239,Loyal Customers
42,131,28,1408,Recent Low-Value
43,307,17,19470,Recent Low-Value
44,135,20,16870,Recent Low-Value
45,21,39,3358,Champions
46,329,23,4911,At Risk / Lost
47,167,32,6797,Champions
48,274,33,15875,Recent Low-Value
49,89,5,11139,At Risk / Lost
50,316,34,1539,Champions
51,14,11,11734,Champions
52,242,3,155,Champions
53,265,33,19808,Recent Low-Value
54,346,11,205,Loyal Customers
55,53,16,3301,At Risk / Lost
56,340,18,15284,Recent Low-Value
57,92,30,769,At Risk / Lost
58,264,10,12763,Recent Low-Value
59,35,18,1066,Champions
60,206,38,16791,Champions
61,81,19,18622,Loyal Customers
62,50,36,11756,Loyal Customers
63,360,13,15993,At Risk / Lost
64,2,3,13189,Loyal Customers
65,54,10,16593,Loyal Customers
66,106,38,3732,At Risk / Lost
67,260,1,5784,Recent Low-Value
68,310,27,13366,Loyal Customers
69,191,8,18399,Recent Low-Value
70,218,17,17040,Champions
71,44,9,204,Loyal Customers
72,162,6,2147,Champions
73,202,25,16629,Champions
74,270,39,17357,Recent Low-Value
75,351,28,16782,At Risk / Lost
76,304,33,19722,Loyal Customers
77,271,37,8937,Recent Low-Value
78,215,9,15507,At Risk / Lost
79,252,18,6482,Champions
80,190,21,18995,Loyal Customers
81,296,2,883,Champions
82,213,38,470,Champions
83,208,36,16008,Loyal Customers
84,237,37,586,At Risk / Lost
85,338,15,14600,At Risk / Lost
86,53,28,3296,Loyal Customers
87,280,18,9652,Loyal Customers
88,217,34,2361,Recent Low-Value
89,252,22,10913,Recent Low-Value
90,188,11,9248,Champions
91,41,13,8672,Loyal Customers
92,157,4,15108,At Risk / Lost
93,15,22,13185,Champions
94,301,7,16722,Champions
95,65,24,6943,Champions
96,345,4,1205,Champions
97,327,28,17870,At Risk / Lost
98,9,15,10541,Champions
99,344,1,9819,Loyal Customers
100,129,3,18151,Recent Low-Value
101,136,14,2791,At Risk / Lost
102,63,38,11964,Loyal Customers
103,139,1,2096,Loyal Customers
104,81,38,1525,Loyal Customers
105,163,38,16478,Recent Low-Value
106,289,21,6949,Recent Low-Value
107,261,29,3347,Recent Low-Value
108,231,5,19076,Loyal Customers
109,41,10,1590,Recent Low-Value
110,28,28,17708,Champions
111,135,21,19071,Recent Low-Value
112,201,7,19548,At Risk / Lost
113,328,3,14410,Loyal Customers
114,268,20,17316,Loyal Customers
115,33,19,15501,Champions
